"","subj_id","item_id","category","RT"
"1",1,1,"happy",1001.71798821567
"2",1,2,"happy",804.257692165577
"3",1,3,"happy",884.255620041796
"4",1,4,"happy",962.070247420006
"5",1,5,"happy",849.899151851209
"6",1,6,"happy",915.469125921501
"7",1,7,"happy",751.877126653773
"8",1,8,"happy",783.78439868814
"9",1,9,"happy",664.181577304462
"10",1,10,"happy",840.684536130172
"11",1,11,"happy",854.638366788977
"12",1,12,"happy",862.713907882742
"13",1,13,"happy",961.987904395445
"14",1,14,"happy",807.791178986954
"15",1,15,"happy",874.390840576154
"16",1,16,"happy",791.728854906642
"17",1,17,"happy",895.039541369652
"18",1,18,"happy",800.990025497604
"19",1,19,"happy",722.365711079395
"20",1,20,"happy",865.44393054368
"21",1,21,"happy",733.332539294362
"22",1,22,"happy",833.631589857747
"23",1,23,"happy",933.714353863946
"24",1,24,"happy",627.813679855627
"25",1,25,"happy",856.677108373717
"26",1,26,"sad",862.990386568654
"27",1,27,"sad",976.076470770222
"28",1,28,"sad",939.115293030722
"29",1,29,"sad",999.534368444757
"30",1,30,"sad",835.049700106908
"31",1,31,"sad",1109.33080771561
"32",1,32,"sad",816.846243149641
"33",1,33,"sad",1003.3473384135
"34",1,34,"sad",890.618913185162
"35",1,35,"sad",895.954281290339
"36",1,36,"sad",1048.02017037809
"37",1,37,"sad",1132.75487912218
"38",1,38,"sad",924.267035230519
"39",1,39,"sad",936.552329715218
"40",1,40,"sad",1066.20347005246
"41",1,41,"sad",913.829563431997
"42",1,42,"sad",1033.21938218049
"43",1,43,"sad",972.233518656393
"44",1,44,"sad",882.357805819381
"45",1,45,"sad",789.429082349678
"46",1,46,"sad",1008.60355602804
"47",1,47,"sad",930.711978143045
"48",1,48,"sad",877.652179175232
"49",1,49,"sad",1058.1492758603
"50",1,50,"sad",928.84544055442
"51",2,1,"happy",710.022824523351
"52",2,2,"happy",632.751463151406
"53",2,3,"happy",718.55725649156
"54",2,4,"happy",882.849024413973
"55",2,5,"happy",583.13390536383
"56",2,6,"happy",588.885704886302
"57",2,7,"happy",637.173004971486
"58",2,8,"happy",573.324845503678
"59",2,9,"happy",583.21321531642
"60",2,10,"happy",661.018537155874
"61",2,11,"happy",738.146505662105
"62",2,12,"happy",715.145072462472
"63",2,13,"happy",762.777837042354
"64",2,14,"happy",663.585409693082
"65",2,15,"happy",772.305189621896
"66",2,16,"happy",611.894236777184
"67",2,17,"happy",851.741399033879
"68",2,18,"happy",739.440048377655
"69",2,19,"happy",509.386348978488
"70",2,20,"happy",652.949120256116
"71",2,21,"happy",644.91522886084
"72",2,22,"happy",613.415778607653
"73",2,23,"happy",760.073101621359
"74",2,24,"happy",575.157423259262
"75",2,25,"happy",832.489802507743
"76",2,26,"sad",686.675493913224
"77",2,27,"sad",709.69689451014
"78",2,28,"sad",621.828009591015
"79",2,29,"sad",839.548779032708
"80",2,30,"sad",684.217103821221
"81",2,31,"sad",964.607049540652
"82",2,32,"sad",595.292046239377
"83",2,33,"sad",812.042372856912
"84",2,34,"sad",706.976761078962
"85",2,35,"sad",649.81044935816
"86",2,36,"sad",806.186138154851
"87",2,37,"sad",920.339195331636
"88",2,38,"sad",660.673744523076
"89",2,39,"sad",782.720936640736
"90",2,40,"sad",701.309240666322
"91",2,41,"sad",744.966501005633
"92",2,42,"sad",888.818176466254
"93",2,43,"sad",783.721774829278
"94",2,44,"sad",632.782491329908
"95",2,45,"sad",679.54146842141
"96",2,46,"sad",682.402507883164
"97",2,47,"sad",693.631502243804
"98",2,48,"sad",706.142458076537
"99",2,49,"sad",746.926743411012
"100",2,50,"sad",714.214354510236
"101",3,1,"happy",908.188330775452
"102",3,2,"happy",926.654074580267
"103",3,3,"happy",879.03359628446
"104",3,4,"happy",946.027668510393
"105",3,5,"happy",824.389212590236
"106",3,6,"happy",950.002232331002
"107",3,7,"happy",873.61025126922
"108",3,8,"happy",790.118310105245
"109",3,9,"happy",733.918938495234
"110",3,10,"happy",860.076224075854
"111",3,11,"happy",835.021908016539
"112",3,12,"happy",816.388082013519
"113",3,13,"happy",913.218148516822
"114",3,14,"happy",747.881994648321
"115",3,15,"happy",930.845916649421
"116",3,16,"happy",828.263110662784
"117",3,17,"happy",846.319996105708
"118",3,18,"happy",911.829405530193
"119",3,19,"happy",785.207809344084
"120",3,20,"happy",934.245987321047
"121",3,21,"happy",832.325461224351
"122",3,22,"happy",833.727662728135
"123",3,23,"happy",995.84084545329
"124",3,24,"happy",825.011188999323
"125",3,25,"happy",1044.32776704809
"126",3,26,"sad",995.446537694456
"127",3,27,"sad",1012.05490474068
"128",3,28,"sad",979.144787473293
"129",3,29,"sad",1000.54282051014
"130",3,30,"sad",854.844815527296
"131",3,31,"sad",1228.63039007988
"132",3,32,"sad",955.862977643712
"133",3,33,"sad",1127.76552272821
"134",3,34,"sad",917.347900927035
"135",3,35,"sad",874.920190101031
"136",3,36,"sad",1067.04017891841
"137",3,37,"sad",1246.8876391759
"138",3,38,"sad",988.649232108798
"139",3,39,"sad",1089.61577222128
"140",3,40,"sad",1084.01176035969
"141",3,41,"sad",1024.70861680255
"142",3,42,"sad",1160.2899881112
"143",3,43,"sad",995.868362497825
"144",3,44,"sad",1032.29140442095
"145",3,45,"sad",883.9418930711
"146",3,46,"sad",1067.2045673035
"147",3,47,"sad",896.765128958064
"148",3,48,"sad",1036.49111053552
"149",3,49,"sad",1067.15566985596
"150",3,50,"sad",1035.69028220652
"151",4,1,"happy",885.121095575609
"152",4,2,"happy",845.791832699573
"153",4,3,"happy",888.219500145361
"154",4,4,"happy",886.559082362865
"155",4,5,"happy",739.855903828918
"156",4,6,"happy",764.345669310782
"157",4,7,"happy",881.616911532818
"158",4,8,"happy",728.278587012056
"159",4,9,"happy",699.611114151821
"160",4,10,"happy",842.819452033914
"161",4,11,"happy",817.284313811803
"162",4,12,"happy",867.086044645686
"163",4,13,"happy",981.754894374188
"164",4,14,"happy",745.945023682788
"165",4,15,"happy",926.164162080603
"166",4,16,"happy",744.709504128662
"167",4,17,"happy",945.537840677046
"168",4,18,"happy",799.548280083301
"169",4,19,"happy",745.811482837738
"170",4,20,"happy",815.524103877204
"171",4,21,"happy",771.572837553608
"172",4,22,"happy",813.296683835781
"173",4,23,"happy",1012.33903579951
"174",4,24,"happy",671.858931808659
"175",4,25,"happy",924.012801971357
"176",4,26,"sad",856.405959977609
"177",4,27,"sad",950.397187840262
"178",4,28,"sad",812.743484275728
"179",4,29,"sad",973.651367720182
"180",4,30,"sad",847.906627735473
"181",4,31,"sad",1072.33429392518
"182",4,32,"sad",896.650749243803
"183",4,33,"sad",944.261253055891
"184",4,34,"sad",1010.9793546279
"185",4,35,"sad",927.535327068685
"186",4,36,"sad",981.966227954231
"187",4,37,"sad",1044.4699665158
"188",4,38,"sad",844.03786336646
"189",4,39,"sad",968.142811570494
"190",4,40,"sad",943.619639334365
"191",4,41,"sad",969.189187010745
"192",4,42,"sad",1014.4237576188
"193",4,43,"sad",954.475609130904
"194",4,44,"sad",934.700336557797
"195",4,45,"sad",832.355885099318
"196",4,46,"sad",960.30179587503
"197",4,47,"sad",941.360578940419
"198",4,48,"sad",943.250139109078
"199",4,49,"sad",963.039983559035
"200",4,50,"sad",843.110156595706
"201",5,1,"happy",881.731622158177
"202",5,2,"happy",784.840094614043
"203",5,3,"happy",769.963534806457
"204",5,4,"happy",783.705745258061
"205",5,5,"happy",881.38974095381
"206",5,6,"happy",673.313090215971
"207",5,7,"happy",708.55920698212
"208",5,8,"happy",593.385749982642
"209",5,9,"happy",682.134612769695
"210",5,10,"happy",812.113346936339
"211",5,11,"happy",798.665262921819
"212",5,12,"happy",723.198898604323
"213",5,13,"happy",819.335809336053
"214",5,14,"happy",649.224434968558
"215",5,15,"happy",796.390832572628
"216",5,16,"happy",659.102458377197
"217",5,17,"happy",833.60641518265
"218",5,18,"happy",786.174229319458
"219",5,19,"happy",632.50004241192
"220",5,20,"happy",777.235014218506
"221",5,21,"happy",680.524869423731
"222",5,22,"happy",721.495208113253
"223",5,23,"happy",847.299985532276
"224",5,24,"happy",708.137693106794
"225",5,25,"happy",941.310836601223
"226",5,26,"sad",744.151128346449
"227",5,27,"sad",792.066213132576
"228",5,28,"sad",773.696246624636
"229",5,29,"sad",827.069462902642
"230",5,30,"sad",728.106993201888
"231",5,31,"sad",1042.85462297732
"232",5,32,"sad",714.07836112279
"233",5,33,"sad",862.880345062055
"234",5,34,"sad",747.797692337042
"235",5,35,"sad",775.482700649714
"236",5,36,"sad",991.231256051389
"237",5,37,"sad",1014.60598326474
"238",5,38,"sad",703.714712358676
"239",5,39,"sad",899.257469421284
"240",5,40,"sad",898.11437079263
"241",5,41,"sad",891.85044015159
"242",5,42,"sad",961.74495434254
"243",5,43,"sad",859.871207257277
"244",5,44,"sad",714.715718513399
"245",5,45,"sad",730.245297560686
"246",5,46,"sad",926.270196321077
"247",5,47,"sad",747.288591967121
"248",5,48,"sad",881.69784077934
"249",5,49,"sad",854.920344671242
"250",5,50,"sad",856.077502951162
"251",6,1,"happy",810.134700139929
"252",6,2,"happy",745.591114144351
"253",6,3,"happy",763.692717743568
"254",6,4,"happy",891.091388701049
"255",6,5,"happy",733.95565786139
"256",6,6,"happy",744.723574972878
"257",6,7,"happy",740.437470441731
"258",6,8,"happy",660.064488483546
"259",6,9,"happy",633.844059698665
"260",6,10,"happy",716.500608428837
"261",6,11,"happy",756.628910082631
"262",6,12,"happy",733.686582792766
"263",6,13,"happy",734.374825638027
"264",6,14,"happy",757.361207354711
"265",6,15,"happy",785.640139967811
"266",6,16,"happy",654.958643917268
"267",6,17,"happy",828.217057304716
"268",6,18,"happy",726.896990550096
"269",6,19,"happy",596.393478478589
"270",6,20,"happy",871.856133660274
"271",6,21,"happy",770.982331381107
"272",6,22,"happy",696.660293103682
"273",6,23,"happy",738.540437586922
"274",6,24,"happy",624.483639753952
"275",6,25,"happy",839.433441246803
"276",6,26,"sad",667.000536005798
"277",6,27,"sad",762.666009464468
"278",6,28,"sad",779.097140790693
"279",6,29,"sad",836.478821799545
"280",6,30,"sad",668.38218348607
"281",6,31,"sad",1054.73634023871
"282",6,32,"sad",752.316051980791
"283",6,33,"sad",946.461186040071
"284",6,34,"sad",841.920756582368
"285",6,35,"sad",713.140948827881
"286",6,36,"sad",846.130036808511
"287",6,37,"sad",891.013491341569
"288",6,38,"sad",775.999645509539
"289",6,39,"sad",907.809460661371
"290",6,40,"sad",841.913012607808
"291",6,41,"sad",790.757211613405
"292",6,42,"sad",948.937656562126
"293",6,43,"sad",741.305798073742
"294",6,44,"sad",770.155404017095
"295",6,45,"sad",678.906952920418
"296",6,46,"sad",763.357852101611
"297",6,47,"sad",739.784018132627
"298",6,48,"sad",783.757234364948
"299",6,49,"sad",683.115780123616
"300",6,50,"sad",797.426292099031
"301",7,1,"happy",891.060587507919
"302",7,2,"happy",779.771564530981
"303",7,3,"happy",665.170230268104
"304",7,4,"happy",825.534059713444
"305",7,5,"happy",745.73329290392
"306",7,6,"happy",727.962646305247
"307",7,7,"happy",677.163453880693
"308",7,8,"happy",629.517767433131
"309",7,9,"happy",608.172286472298
"310",7,10,"happy",799.427829860663
"311",7,11,"happy",823.473683637151
"312",7,12,"happy",710.212265224583
"313",7,13,"happy",833.180961585478
"314",7,14,"happy",658.46246240577
"315",7,15,"happy",834.458377258523
"316",7,16,"happy",714.05633772423
"317",7,17,"happy",803.200233433811
"318",7,18,"happy",819.940936804324
"319",7,19,"happy",571.040865783236
"320",7,20,"happy",862.825721326573
"321",7,21,"happy",612.415518127298
"322",7,22,"happy",777.703570293212
"323",7,23,"happy",835.894906280681
"324",7,24,"happy",652.00080099998
"325",7,25,"happy",889.275227332938
"326",7,26,"sad",740.031194135648
"327",7,27,"sad",820.492641248024
"328",7,28,"sad",864.600721832492
"329",7,29,"sad",962.368309807848
"330",7,30,"sad",779.478130337912
"331",7,31,"sad",1056.62833073353
